row;col;r;c;value;status
"Total viatgers";"08/2025 (p)";1;1;83,8;
"Total viatgers";"07/2025 (p)";1;2;79,9;
"Total viatgers";"06/2025 (p)";1;3;76,3;
"Total viatgers";"05/2025 (p)";1;4;72,5;
"Total viatgers";"04/2025 (p)";1;5;68,2;
"Total viatgers";"03/2025 (p)";1;6;63,2;
"Total viatgers";"02/2025 (p)";1;7;63,9;
"Total viatgers";"01/2025 (p)";1;8;55,1;
"Total viatgers";12/2024;1;9;52,7;
"Total viatgers";11/2024;1;10;63,7;
"Total viatgers";10/2024;1;11;70,9;
"Total viatgers";09/2024;1;12;77,6;
"Total viatgers";08/2024;1;13;84,2;
"Total viatgers";07/2024;1;14;79;
"Total viatgers";06/2024;1;15;75,4;
"Total viatgers";05/2024;1;16;71,9;
"Total viatgers";04/2024;1;17;66,3;
"Total viatgers";03/2024;1;18;62,6;
"Total viatgers";"02/2024 (p)";1;19;65,5;
"Total viatgers";01/2024;1;20;54,9;
"Total viatgers";12/2023;1;21;53,1;
"Total viatgers";11/2023;1;22;65,2;
"Total viatgers";10/2023;1;23;72,5;
"Total viatgers";09/2023;1;24;76;
"Total viatgers";08/2023;1;25;83,2;
"Total viatgers";07/2023;1;26;78,3;
"Total viatgers";06/2023;1;27;71,7;
"Total viatgers";05/2023;1;28;67,4;
"Total viatgers";04/2023;1;29;67,5;
"Total viatgers";03/2023;1;30;63,7;
"Total viatgers";02/2023;1;31;65,5;
"Total viatgers";01/2023;1;32;51,9;
"Total viatgers";12/2022;1;33;51,3;
"Total viatgers";11/2022;1;34;61,2;
"Total viatgers";10/2022;1;35;68,1;
"Total viatgers";09/2022;1;36;71,8;
"Total viatgers";08/2022;1;37;83,3;
"Total viatgers";07/2022;1;38;76,9;
"Total viatgers";06/2022;1;39;70,9;
"Total viatgers";05/2022;1;40;64,5;
"Total viatgers";04/2022;1;41;63,4;
"Total viatgers";03/2022;1;42;55,4;
"Total viatgers";02/2022;1;43;52,2;
"Total viatgers";01/2022;1;44;36,4;
"Total viatgers";12/2021;1;45;42,7;
"Total viatgers";11/2021;1;46;50,1;
"Total viatgers";10/2021;1;47;55,4;
"Total viatgers";09/2021;1;48;51,1;
"Total viatgers";08/2021;1;49;67,5;
"Total viatgers";07/2021;1;50;50,9;
"Total viatgers";06/2021;1;51;39;
"Total viatgers";05/2021;1;52;32,9;
"Total viatgers";04/2021;1;53;28,6;
"Total viatgers";03/2021;1;54;27,1;
"Total viatgers";02/2021;1;55;24;
"Total viatgers";01/2021;1;56;21,3;
"Total viatgers";12/2020;1;57;21;
"Total viatgers";11/2020;1;58;17,8;
"Total viatgers";10/2020;1;59;23,6;
"Total viatgers";09/2020;1;60;29,6;
"Total viatgers";08/2020;1;61;44,8;
"Total viatgers";07/2020;1;62;35,8;
"Total viatgers";06/2020;1;63;23,3;
"Total viatgers";05/2020;1;64;19,4;
"Total viatgers";04/2020;1;65;0;
"Total viatgers";03/2020;1;66;31,7;
"Total viatgers";02/2020;1;67;56,5;
"Total viatgers";01/2020;1;68;53,2;
"Total viatgers";12/2019;1;69;50,8;
"Total viatgers";11/2019;1;70;59,5;
"Total viatgers";10/2019;1;71;68,6;
"Total viatgers";09/2019;1;72;76,7;
"Total viatgers";08/2019;1;73;83,4;
"Total viatgers";07/2019;1;74;78,3;
"Total viatgers";06/2019;1;75;75,8;
"Total viatgers";05/2019;1;76;65,5;
"Total viatgers";04/2019;1;77;66,7;
"Total viatgers";03/2019;1;78;62,8;
"Total viatgers";02/2019;1;79;62;
"Total viatgers";01/2019;1;80;52;
"Total viatgers";12/2018;1;81;51,1;
