Indicadors de rendibilitat del sector hoteler. Per categories
Catalunya. Juliol del 2026 (p)
Unitats: Euros.
"Font: Idescat, a partir de l'Enquesta d'ocupació hotelera de l'INE."
(p) Dada provisional.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=basics&n=10294&lang=ca
,Valor. Facturació mitjana per habitació ocupada (ADR),Valor. Ingressos per habitació disponible (RevPAR),% variació interanual. Facturació mitjana per habitació ocupada (ADR),% variació interanual. Ingressos per habitació disponible (RevPAR)
Total,149.47,122.39,6.1,7.9
Cinc estrelles d'or,326.97,258.17,-3.7,-1.1
Quatre estrelles d'or,155.76,133.87,5.4,7.0
Tres estrelles d'or,127.69,106.12,11.3,13.8
Dues estrelles d'or,111.33,87.61,9.8,11.3
Una estrella d'or,124.61,92.02,16.9,20.0
Tres i dues estrelles d'argent,98.35,63.94,6.8,3.6
Una estrella d'argent,115.07,69.33,-1.5,5.5
Indicadors de rendibilitat del sector hoteler. Per categories
Espanya. Juliol del 2026 (p)
Unitats: Euros.
Font: INE. Enquesta d'ocupació hotelera.
(p) Dada provisional.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=basics&n=10294&lang=ca
,Valor. Facturació mitjana per habitació ocupada (ADR),Valor. Ingressos per habitació disponible (RevPAR),% variació interanual. Facturació mitjana per habitació ocupada (ADR),% variació interanual. Ingressos per habitació disponible (RevPAR)
Total,156.92,119.33,6.8,6.6
Cinc estrelles d'or,339.03,249.09,0.4,-0.7
Quatre estrelles d'or,164.77,136.02,7.3,6.8
Tres estrelles d'or,132.64,103.50,6.8,6.3
Dues estrelles d'or,100.10,66.84,6.4,6.5
Una estrella d'or,115.34,69.38,32.0,23.5
Tres i dues estrelles d'argent,89.65,48.59,5.7,5.9
Una estrella d'argent,85.17,47.69,5.6,13.5

