Població a 1 de gener. Per sexe
Municipis. 2025
"Font: Idescat, a partir del Padró continu de l'INE."
"Nota: A partir de 2023 el Padró municipal d'habitants només ofereix la xifra de població dels municipis, les comarques i Aran i les províncies.
La xifra total de Catalunya s'ofereix a títol informatiu."
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=pmh&n=446&geo=mun&lang=ca
Codi,Nom,Homes,Dones,Total
250019,Abella de la Conca,81,75,156
080018,Abrera,6639,6588,13227
250024,Àger,341,296,637
250030,Agramunt,2873,2780,5653
080023,Aguilar de Segarra,158,134,292
170010,Agullana,435,445,880
080142,Aiguafreda,1270,1299,2569
430017,Aiguamúrcia,519,468,987
170025,Aiguaviva,416,388,804
250387,Aitona,1376,1215,2591
250045,"Alamús, els",427,408,835
250058,Alàs i Cerc,159,161,320
250061,"Albagés, l'",183,156,339
170031,Albanyà,79,78,157
250077,Albatàrrec,1181,1150,2331
250083,Albesa,859,725,1584
250096,"Albi, l'",390,374,764
430022,Albinyana,1406,1312,2718
430038,"Albiol, l'",291,266,557
170046,Albons,428,417,845
430043,Alcanar,5098,5006,10104
250100,Alcanó,121,123,244
250117,Alcarràs,5321,4935,10256
250122,Alcoletge,1957,1683,3640
430056,Alcover,2662,2700,5362
439044,"Aldea, l'",2535,2122,4657
430069,Aldover,457,444,901
430075,"Aleixar, l'",520,489,1009
080039,Alella,4993,5269,10262
430081,Alfara de Carles,183,172,355
250138,Alfarràs,1463,1342,2805
250143,Alfés,155,129,284
430094,Alforja,1019,1005,2024
250156,Algerri,238,186,424
250169,Alguaire,1608,1452,3060
250175,Alins,144,125,269
430108,Alió,244,252,496
250194,Almacelles,3784,3234,7018
250208,Almatret,156,136,292
250215,Almenar,1790,1579,3369
430115,Almoster,695,689,1384
250220,Alòs de Balaguer,68,50,118
170062,Alp,901,823,1724
080044,Alpens,148,119,267
250236,Alpicat,3261,3254,6515
250241,Alt Àneu,262,191,453
430120,Altafulla,2832,3038,5870
170078,Amer,1205,1217,2422
430136,"Ametlla de Mar, l'",3803,3643,7446
080057,"Ametlla del Vallès, l'",4778,4696,9474
439060,"Ampolla, l'",1922,1863,3785
430141,Amposta,11825,11255,23080
170084,Anglès,2968,2976,5944
250273,Anglesola,705,684,1389
250292,Arbeca,1118,1045,2163
430167,"Arboç, l'",2907,2814,5721
430154,Arbolí,82,56,138
170097,Arbúcies,3440,3225,6665
080060,Arenys de Mar,8268,8774,17042
080076,Arenys de Munt,4811,4747,9558
170101,Argelaguer,233,235,468
080082,Argençola,123,122,245
430173,"Argentera, l'",79,60,139
080095,Argentona,6365,6526,12891
170118,"Armentera, l'",550,530,1080
430189,Arnes,228,233,461
250313,Arres,41,17,58
250328,Arsèguel,47,40,87
080109,Artés,3124,3101,6225
250334,Artesa de Lleida,828,715,1543
250349,Artesa de Segre,1831,1728,3559
430192,Ascó,810,779,1589
250365,Aspa,127,106,233
250371,"Avellanes i Santa Linya, les",235,199,434
080116,Avià,1127,1140,2267
080121,Avinyó,1176,1146,2322
170123,Avinyonet de Puigventós,829,842,1671
080137,Avinyonet del Penedès,939,843,1782
080155,Badalona,114282,117260,231542
089045,Badia del Vallès,6379,6681,13060
080168,Bagà,1065,1096,2161
250390,Baix Pallars,184,161,345
250404,Balaguer,9069,8660,17729
080174,Balenyà,2051,1970,4021
080180,Balsareny,1708,1672,3380
430206,Banyeres del Penedès,1697,1698,3395
170157,Banyoles,10325,10540,20865
250411,Barbens,529,400,929
430213,Barberà de la Conca,250,226,476
082520,Barberà del Vallès,16672,17315,33987
080193,Barcelona,829413,902236,1731649
250426,"Baronia de Rialb, la",115,101,216
170160,Bàscara,526,523,1049
250447,Bassella,118,98,216
430228,Batea,945,930,1875
250450,Bausen,32,30,62
080207,Begues,3752,3809,7561
170139,Begur,2135,2156,4291
250463,Belianes,248,266,514
251706,Bellaguarda,152,126,278
170182,Bellcaire d'Empordà,364,359,723
250479,Bellcaire d'Urgell,663,612,1275
250485,Bell-lloc d'Urgell,1191,1173,2364
250498,Bellmunt d'Urgell,91,83,174
430234,Bellmunt del Priorat,149,141,290
080214,Bellprat,42,27,69
250501,Bellpuig,3002,2508,5510
430249,Bellvei,1272,1188,2460
250518,Bellver de Cerdanya,1174,1115,2289
250523,Bellvís,1173,1076,2249
250539,Benavent de Segrià,824,747,1571
430252,Benifallet,345,361,706
430265,Benissanet,668,518,1186
080229,Berga,8615,8858,17473
170195,Besalú,1255,1337,2592
170209,Bescanó,2539,2549,5088
170216,Beuda,102,101,203
