row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;6465,1;;"2n trimestre del 2025 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;910,6;;"2n trimestre del 2025 (p)"
"Total pernoctacions";"Variació interanual / % trimestre";1;3;16,4;;"2n trimestre del 2025 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;6,2;;"2n trimestre del 2025 (p)"
"Costa Brava";Valor;2;1;2698,8;;"2n trimestre del 2025 (p)"
"Costa Brava";"Variació interanual / Absoluta";2;2;323,2;;"2n trimestre del 2025 (p)"
"Costa Brava";"Variació interanual / % trimestre";2;3;13,6;;"2n trimestre del 2025 (p)"
"Costa Brava";"Variació interanual / % acumulat";2;4;7,2;;"2n trimestre del 2025 (p)"
"Costa Daurada";Valor;3;1;2134,9;;"2n trimestre del 2025 (p)"
"Costa Daurada";"Variació interanual / Absoluta";3;2;306,9;;"2n trimestre del 2025 (p)"
"Costa Daurada";"Variació interanual / % trimestre";3;3;16,8;;"2n trimestre del 2025 (p)"
"Costa Daurada";"Variació interanual / % acumulat";3;4;;..;"2n trimestre del 2025 (p)"
"Costa Barcelona";Valor;4;1;964,6;;"2n trimestre del 2025 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";4;2;106,9;;"2n trimestre del 2025 (p)"
"Costa Barcelona";"Variació interanual / % trimestre";4;3;12,5;;"2n trimestre del 2025 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";4;4;3,9;;"2n trimestre del 2025 (p)"
"Paisatges Barcelona";Valor;5;1;55,3;;"2n trimestre del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";5;2;21,6;;"2n trimestre del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % trimestre";5;3;64,3;;"2n trimestre del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";5;4;22,5;;"2n trimestre del 2025 (p)"
Pirineus;Valor;6;1;383,3;;"2n trimestre del 2025 (p)"
Pirineus;"Variació interanual / Absoluta";6;2;;..;"2n trimestre del 2025 (p)"
Pirineus;"Variació interanual / % trimestre";6;3;;..;"2n trimestre del 2025 (p)"
Pirineus;"Variació interanual / % acumulat";6;4;13,3;;"2n trimestre del 2025 (p)"
"Terres de Lleida";Valor;7;1;;..;"2n trimestre del 2025 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";7;2;;..;"2n trimestre del 2025 (p)"
"Terres de Lleida";"Variació interanual / % trimestre";7;3;;..;"2n trimestre del 2025 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";7;4;;..;"2n trimestre del 2025 (p)"
"Terres de l'Ebre";Valor;8;1;196;;"2n trimestre del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";8;2;28,7;;"2n trimestre del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % trimestre";8;3;17,2;;"2n trimestre del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";8;4;4,2;;"2n trimestre del 2025 (p)"
"Val d'Aran";Valor;9;1;;..;"2n trimestre del 2025 (p)"
"Val d'Aran";"Variació interanual / Absoluta";9;2;;..;"2n trimestre del 2025 (p)"
"Val d'Aran";"Variació interanual / % trimestre";9;3;;..;"2n trimestre del 2025 (p)"
"Val d'Aran";"Variació interanual / % acumulat";9;4;;..;"2n trimestre del 2025 (p)"
