row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;4990,1;;"Abril del 2025 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;545,2;;"Abril del 2025 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;12,3;;"Abril del 2025 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;0,9;;"Abril del 2025 (p)"
Barcelona;Valor;2;1;2073,3;;"Abril del 2025 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;54,7;;"Abril del 2025 (p)"
Barcelona;"Variació interanual / % mes";2;3;2,7;;"Abril del 2025 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;-1,9;;"Abril del 2025 (p)"
"Costa Brava";Valor;3;1;1028,7;;"Abril del 2025 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;176,3;;"Abril del 2025 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;20,7;;"Abril del 2025 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;8,1;;"Abril del 2025 (p)"
"Costa Daurada";Valor;4;1;807,1;;"Abril del 2025 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;192,7;;"Abril del 2025 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;31,4;;"Abril del 2025 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;3;;"Abril del 2025 (p)"
"Costa Barcelona";Valor;5;1;781,4;;"Abril del 2025 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;35,2;;"Abril del 2025 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;4,7;;"Abril del 2025 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;-0,2;;"Abril del 2025 (p)"
"Paisatges Barcelona";Valor;6;1;36,8;;"Abril del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;-1,4;;"Abril del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;-3,6;;"Abril del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;3,4;;"Abril del 2025 (p)"
Pirineus;Valor;7;1;107,6;;"Abril del 2025 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;;..;"Abril del 2025 (p)"
Pirineus;"Variació interanual / % mes";7;3;;..;"Abril del 2025 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;15,6;;"Abril del 2025 (p)"
"Terres de Lleida";Valor;8;1;44,2;;"Abril del 2025 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;;..;"Abril del 2025 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;;..;"Abril del 2025 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-3,7;;"Abril del 2025 (p)"
"Terres de l'Ebre";Valor;9;1;68;;"Abril del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;20,1;;"Abril del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;42;;"Abril del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;4,6;;"Abril del 2025 (p)"
"Val d'Aran";Valor;10;1;43,1;;"Abril del 2025 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;26,9;;"Abril del 2025 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;166,5;;"Abril del 2025 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;0,2;;"Abril del 2025 (p)"
