row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;8814,6;;"Agost del 2025 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;-85,5;;"Agost del 2025 (p)"
"Total pernoctacions";"Variació interanual / % mes";1;3;-1;;"Agost del 2025 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;-0,4;;"Agost del 2025 (p)"
Barcelona;Valor;2;1;2338,9;;"Agost del 2025 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;19,4;;"Agost del 2025 (p)"
Barcelona;"Variació interanual / % mes";2;3;0,8;;"Agost del 2025 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;-1,8;;"Agost del 2025 (p)"
"Costa Brava";Valor;3;1;2288,2;;"Agost del 2025 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;-12,3;;"Agost del 2025 (p)"
"Costa Brava";"Variació interanual / % mes";3;3;-0,5;;"Agost del 2025 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;1,1;;"Agost del 2025 (p)"
"Costa Daurada";Valor;4;1;1932,4;;"Agost del 2025 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;-72,4;;"Agost del 2025 (p)"
"Costa Daurada";"Variació interanual / % mes";4;3;-3,6;;"Agost del 2025 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;-1,1;;"Agost del 2025 (p)"
"Costa Barcelona";Valor;5;1;1658,6;;"Agost del 2025 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;-36;;"Agost del 2025 (p)"
"Costa Barcelona";"Variació interanual / % mes";5;3;-2,1;;"Agost del 2025 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;-0,5;;"Agost del 2025 (p)"
"Paisatges Barcelona";Valor;6;1;65,9;;"Agost del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;25;;"Agost del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % mes";6;3;61,1;;"Agost del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;31;;"Agost del 2025 (p)"
Pirineus;Valor;7;1;252,4;;"Agost del 2025 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;-5,7;;"Agost del 2025 (p)"
Pirineus;"Variació interanual / % mes";7;3;-2,2;;"Agost del 2025 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;5,1;;"Agost del 2025 (p)"
"Terres de Lleida";Valor;8;1;51,1;;"Agost del 2025 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;0,1;;"Agost del 2025 (p)"
"Terres de Lleida";"Variació interanual / % mes";8;3;0,1;;"Agost del 2025 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-2,4;;"Agost del 2025 (p)"
"Terres de l'Ebre";Valor;9;1;123,5;;"Agost del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;-9,8;;"Agost del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % mes";9;3;-7,4;;"Agost del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;-2,2;;"Agost del 2025 (p)"
"Val d'Aran";Valor;10;1;103,4;;"Agost del 2025 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;6,2;;"Agost del 2025 (p)"
"Val d'Aran";"Variació interanual / % mes";10;3;6,4;;"Agost del 2025 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;3,7;;"Agost del 2025 (p)"
