row;col;r;c;value;status;ref
"Total pernoctacions";Valor;1;1;330,2;;"2n trimestre del 2025 (p)"
"Total pernoctacions";"Variació interanual / Absoluta";1;2;56,1;;"2n trimestre del 2025 (p)"
"Total pernoctacions";"Variació interanual / % trimestre";1;3;20,5;;"2n trimestre del 2025 (p)"
"Total pernoctacions";"Variació interanual / % acumulat";1;4;3,2;;"2n trimestre del 2025 (p)"
Barcelona;Valor;2;1;;z;"2n trimestre del 2025 (p)"
Barcelona;"Variació interanual / Absoluta";2;2;;z;"2n trimestre del 2025 (p)"
Barcelona;"Variació interanual / % trimestre";2;3;;z;"2n trimestre del 2025 (p)"
Barcelona;"Variació interanual / % acumulat";2;4;;z;"2n trimestre del 2025 (p)"
"Costa Brava";Valor;3;1;88,8;;"2n trimestre del 2025 (p)"
"Costa Brava";"Variació interanual / Absoluta";3;2;2,4;;"2n trimestre del 2025 (p)"
"Costa Brava";"Variació interanual / % trimestre";3;3;2,8;;"2n trimestre del 2025 (p)"
"Costa Brava";"Variació interanual / % acumulat";3;4;-11,3;;"2n trimestre del 2025 (p)"
"Costa Daurada";Valor;4;1;20,3;;"2n trimestre del 2025 (p)"
"Costa Daurada";"Variació interanual / Absoluta";4;2;3,3;;"2n trimestre del 2025 (p)"
"Costa Daurada";"Variació interanual / % trimestre";4;3;19,4;;"2n trimestre del 2025 (p)"
"Costa Daurada";"Variació interanual / % acumulat";4;4;;..;"2n trimestre del 2025 (p)"
"Costa Barcelona";Valor;5;1;28,9;;"2n trimestre del 2025 (p)"
"Costa Barcelona";"Variació interanual / Absoluta";5;2;1,9;;"2n trimestre del 2025 (p)"
"Costa Barcelona";"Variació interanual / % trimestre";5;3;7,2;;"2n trimestre del 2025 (p)"
"Costa Barcelona";"Variació interanual / % acumulat";5;4;;..;"2n trimestre del 2025 (p)"
"Paisatges Barcelona";Valor;6;1;43;;"2n trimestre del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / Absoluta";6;2;-1,2;;"2n trimestre del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % trimestre";6;3;-2,7;;"2n trimestre del 2025 (p)"
"Paisatges Barcelona";"Variació interanual / % acumulat";6;4;-11,9;;"2n trimestre del 2025 (p)"
Pirineus;Valor;7;1;109,4;;"2n trimestre del 2025 (p)"
Pirineus;"Variació interanual / Absoluta";7;2;36,6;;"2n trimestre del 2025 (p)"
Pirineus;"Variació interanual / % trimestre";7;3;50,2;;"2n trimestre del 2025 (p)"
Pirineus;"Variació interanual / % acumulat";7;4;20;;"2n trimestre del 2025 (p)"
"Terres de Lleida";Valor;8;1;17,8;;"2n trimestre del 2025 (p)"
"Terres de Lleida";"Variació interanual / Absoluta";8;2;-0,2;;"2n trimestre del 2025 (p)"
"Terres de Lleida";"Variació interanual / % trimestre";8;3;-0,9;;"2n trimestre del 2025 (p)"
"Terres de Lleida";"Variació interanual / % acumulat";8;4;-6,3;;"2n trimestre del 2025 (p)"
"Terres de l'Ebre";Valor;9;1;;..;"2n trimestre del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / Absoluta";9;2;;..;"2n trimestre del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % trimestre";9;3;;..;"2n trimestre del 2025 (p)"
"Terres de l'Ebre";"Variació interanual / % acumulat";9;4;;..;"2n trimestre del 2025 (p)"
"Val d'Aran";Valor;10;1;;..;"2n trimestre del 2025 (p)"
"Val d'Aran";"Variació interanual / Absoluta";10;2;;..;"2n trimestre del 2025 (p)"
"Val d'Aran";"Variació interanual / % trimestre";10;3;;..;"2n trimestre del 2025 (p)"
"Val d'Aran";"Variació interanual / % acumulat";10;4;;..;"2n trimestre del 2025 (p)"
