Places de turisme rural
Municipis. 2023
Font: Idescat, a partir del Departament d'Empresa i Treball.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=turall&n=6039&geo=mun&t=202300
Codi;Nom;Casa de poble compartida;Casa de poble independent;Masia;Masoveria;Total
250019;Abella de la Conca;0;9;0;0;9
080018;Abrera;0;0;0;0;0
250024;Àger;35;45;17;0;97
250030;Agramunt;15;14;0;0;29
080023;Aguilar de Segarra;0;0;0;24;24
170010;Agullana;0;0;0;8;8
080142;Aiguafreda;0;0;0;0;0
430017;Aiguamúrcia;0;32;54;76;162
170025;Aiguaviva;0;0;0;0;0
250387;Aitona;0;0;0;7;7
250045;Alamús, els;0;0;0;0;0
250058;Alàs i Cerc;0;4;0;0;4
250061;Albagés, l';9;0;0;0;9
170031;Albanyà;0;43;8;23;74
250077;Albatàrrec;0;0;0;0;0
250083;Albesa;0;0;0;0;0
250096;Albi, l';0;0;0;0;0
430022;Albinyana;8;0;0;0;8
430038;Albiol, l';0;0;15;8;23
170046;Albons;0;14;0;15;29
430043;Alcanar;0;0;24;27;51
250100;Alcanó;0;0;0;0;0
250117;Alcarràs;0;0;0;6;6
250122;Alcoletge;0;0;0;0;0
430056;Alcover;0;0;0;27;27
439044;Aldea, l';0;0;21;15;36
430069;Aldover;0;5;0;8;13
430075;Aleixar, l';0;7;0;13;20
080039;Alella;0;0;0;0;0
430081;Alfara de Carles;0;14;0;0;14
250138;Alfarràs;0;0;0;8;8
250143;Alfés;0;0;0;0;0
430094;Alforja;0;21;11;0;32
250156;Algerri;0;0;0;0;0
250169;Alguaire;0;0;0;0;0
250175;Alins;63;58;0;0;121
430108;Alió;0;0;0;0;0
250194;Almacelles;0;0;0;0;0
250208;Almatret;0;12;0;0;12
250215;Almenar;0;0;6;8;14
430115;Almoster;0;0;0;0;0
250220;Alòs de Balaguer;8;0;0;0;8
170062;Alp;0;0;15;0;15
080044;Alpens;0;8;0;21;29
250236;Alpicat;0;0;0;0;0
250241;Alt Àneu;42;27;0;0;69
430120;Altafulla;0;0;0;0;0
170078;Amer;0;0;0;9;9
430136;Ametlla de Mar, l';0;0;0;13;13
080057;Ametlla del Vallès, l';0;0;0;30;30
439060;Ampolla, l';0;0;0;24;24
430141;Amposta;10;63;29;18;120
170084;Anglès;0;0;0;0;0
250273;Anglesola;0;0;0;0;0
250292;Arbeca;0;0;0;0;0
430167;Arboç, l';0;0;0;0;0
430154;Arbolí;0;0;0;0;0
170097;Arbúcies;0;0;40;72;112
080060;Arenys de Mar;0;0;0;0;0
080076;Arenys de Munt;0;0;0;0;0
170101;Argelaguer;0;0;26;0;26
080082;Argençola;0;7;0;5;12
430173;Argentera, l';7;13;0;0;20
080095;Argentona;0;0;0;0;0
170118;Armentera, l';0;30;0;0;30
430189;Arnes;9;34;0;0;43
250313;Arres;10;0;0;0;10
250328;Arsèguel;0;5;15;6;26
080109;Artés;0;0;0;7;7
250334;Artesa de Lleida;0;0;0;0;0
250349;Artesa de Segre;0;27;0;25;52
430192;Ascó;0;0;0;0;0
250365;Aspa;0;0;0;0;0
250371;Avellanes i Santa Linya, les;5;14;15;0;34
080116;Avià;4;0;0;41;45
080121;Avinyó;0;0;0;10;10
170123;Avinyonet de Puigventós;7;0;0;0;7
080137;Avinyonet del Penedès;20;38;0;0;58
080155;Badalona;0;0;0;0;0
089045;Badia del Vallès;0;0;0;0;0
080168;Bagà;0;0;14;0;14
250390;Baix Pallars;15;56;0;10;81
250404;Balaguer;0;0;0;14;14
080174;Balenyà;0;0;0;0;0
080180;Balsareny;0;0;0;8;8
430206;Banyeres del Penedès;15;19;0;0;34
170157;Banyoles;0;0;0;0;0
250411;Barbens;0;0;0;8;8
430213;Barberà de la Conca;0;15;0;0;15
082520;Barberà del Vallès;0;0;0;0;0
080193;Barcelona;0;0;0;0;0
250426;Baronia de Rialb, la;0;8;22;26;56
170160;Bàscara;10;0;20;0;30
250447;Bassella;0;18;15;27;60
430228;Batea;0;0;9;4;13
250450;Bausen;0;0;0;0;0
080207;Begues;0;0;0;10;10
170139;Begur;0;0;0;0;0
250463;Belianes;0;10;0;0;10
251706;Bellaguarda;0;0;0;0;0
170182;Bellcaire d'Empordà;0;0;0;0;0
250479;Bellcaire d'Urgell;0;12;0;0;12
250485;Bell-lloc d'Urgell;0;0;0;0;0
250498;Bellmunt d'Urgell;0;0;0;0;0
430234;Bellmunt del Priorat;0;4;0;0;4
080214;Bellprat;0;0;0;4;4
250501;Bellpuig;0;0;0;10;10
430249;Bellvei;0;0;0;0;0
250518;Bellver de Cerdanya;15;33;0;9;57
250523;Bellvís;0;0;0;0;0
250539;Benavent de Segrià;0;0;0;0;0
430252;Benifallet;0;6;4;12;22
430265;Benissanet;0;6;0;12;18
080229;Berga;0;0;0;31;31
170195;Besalú;0;0;0;0;0
170209;Bescanó;0;0;0;0;0
170216;Beuda;0;0;15;55;70
080235;Bigues i Riells del Fai;0;12;0;19;31
250557;Biosca;0;12;5;110;127
170221;Bisbal d'Empordà, la;0;0;0;0;0
430271;Bisbal de Montsant, la;34;7;0;0;41
430287;Bisbal del Penedès, la;0;0;0;13;13
172348;Biure;0;0;0;0;0
430290;Blancafort;0;0;0;0;0
170237;Blanes;0;0;0;0;0
170293;Boadella i les Escaules;0;5;0;8;13
170242;Bolvir;0;0;0;25;25
430304;Bonastre;0;0;0;0;0
250576;Bòrdes, Es;10;20;0;0;30
170255;Bordils;10;0;15;6;31
250582;Borges Blanques, les;0;0;0;9;9
430311;Borges del Camp, les;0;0;0;0;0
170268;Borrassà;0;0;10;0;10
080240;Borredà;15;0;0;56;71
250595;Bossòst;0;16;0;0;16
430326;Bot;14;11;0;0;25
430332;Botarell;0;0;0;0;0
250560;Bovera;0;0;0;0;0
430347;Bràfim;0;6;0;0;6
170274;Breda;0;0;0;0;0
080253;Bruc, el;0;0;0;8;8
080266;Brull, el;0;0;15;12;27
170280;Brunyola i Sant Martí Sapresa;0;0;46;0;46
430350;Cabacés;0;0;0;0;0
250609;Cabanabona;0;14;0;0;14
170314;Cabanelles;0;0;0;15;15
170307;Cabanes;0;0;0;0;0
080272;Cabanyes, les;0;0;0;0;0
250616;Cabó;9;0;0;0;9
430363;Cabra del Camp;0;10;0;0;10
080288;Cabrera d'Anoia;0;0;0;0;0
080291;Cabrera de Mar;0;0;0;0;0
080305;Cabrils;0;0;0;0;0
170329;Cadaqués;0;0;0;0;0
080312;Calaf;0;0;0;0;0
430379;Calafell;0;0;0;0;0
080348;Calders;0;0;0;30;30
